"","UserLanguage","group","Q1l_1","Q1l_2","Q1l_3","Q1m_1","Q2a_1","Q2a_2","Q2a_3","Q2b_1","Q3a_1","Q3a_2","Q3a_3","Q3b_1","Q4a_1","Q4a_2","Q4a_3","Q4b_1","Q5a_1","Q5a_2","Q5a_3","5b_1","Q6a_1","Q6a_2","Q6a_3","Q6b_1"
"1","NZEnglish","GC","66","70","66","36","76","72","79","34","90","69","92","43","100","64","97","50","93","64","95","40","85","68","95","39"
"2","NZEnglish","GC","100","76","77","51","100","93","99","70","100","96","100","74","100","100","100","89","100","100","100","93","100","100","100","98"
"3","NZEnglish","GC","72","45","72","32","64","54","74","70","92","65","84","73","100","62","85","90","100","69","93","86","100","59","95","87"
"4","NZEnglish","GS","100","68","100","50","100","35","100","15","100","78","100","58","95","100","100","61","100","100","100","64","100","100","100","73"
"5","NZEnglish","GS","61","15","42","30","62","25","48","52","71","47","63","60","78","43","66","66","67","36","63","40","62","36","58","53"
"6","NZEnglish","GS","97","50","50","52","98","50","50","49","95","50","50","52","99","50","77","59","100","50","75","60","100","73","74","72"
"7","NZEnglish","GS","37","0","43","21","50","20","61","33","74","56","65","45","74","59","90","47","96","55","88","70","90","61","81","70"
"8","Maori","GC","66","73","96","51","81","84","89","71","94","94","100","81","87","84","100","72","90","91","89","77","98","98","100","90"
"9","Maori","GC","57","73","72","31","53","57","61","55","72","50","82","69","81","62","85","68","92","83","85","77","70","69","100","70"
"10","Maori","GC","95","100","100","55","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11","Maori","GC","77","31","50","49","73","30","76","52","78","68","69","69","74","71","73","72","78","78","80","34","100","77","80","74"
"12","Maori","GC","56","50","66","14","58","55","64","15","66","61","63","25","79","64","68","44","83","65","83","51","90","71","66","48"
"13","Maori","GC","59","37","36","24","65","64","84","50","94","90","89","86","99","86","95","89","99","96","100","89","100","96","100","94"
"14","Maori","GS","100","32","100","34","100","82","100","82","100","100","100","75","100","100","100","50","100","83","100","56","94","71","100","85"
"15","Maori","GS","60","17","53","43","67","35","56","55","69","36","67","36","73","28","71","51","60","21","59","55","64","13","58","49"
"16","Maori","GS","85","25","74","51","100","86","87","49","100","100","100","69","100","100","100","76","100","100","100","76","100","100","100","81"
"17","EN","GS","53","53","100","18","45","43","47","51","36","44","48","46","44","47","50","52","40","47","48","49","47","49","51","53"
"18","EN","GS","60","50","50","33","60","60","30","34","60","60","30","33","60","60","33","33","61","60","18","11","51","35","14","13"
"19","EN","GS","50","50","65","35","64","64","72","76","80","45","66","78","63","18","53","51","56","35","66","21","4","7","7","5"
"20","EN","GS","60","60","60","32","83","92","90","73","87","88","90","76","90","90","91","88","85","87","86","85","91","91","90","94"
"21","EN","GS","70","21","50","22","73","24","78","37","74","64","90","49","72","70","67","56","41","20","83","30","53","46","69","50"
"22","EN","GS","10","60","60","5","20","70","50","51","58","67","74","71","80","83","94","73","67","61","62","55","72","83","86","73"
"23","EN","GS","51","27","100","47","73","23","73","82","90","91","90","92","100","68","100","92","100","50","100","100","100","80","100","100"
"24","EN","GC","26","28","27","24","17","15","22","28","82","73","71","79","49","51","54","48","3","3","8","5","35","30","32","33"
"25","EN","GC","35","2","67","6","70","15","63","50","11","5","78","68","6","20","82","70","62","26","72","60","26","21","73","65"
"26","EN","GC","66","50","50","27","76","57","77","36","72","55","69","50","61","50","50","34","48","33","40","6","44","44","51","42"
"27","EN","GR","59","68","74","51","68","67","72","62","82","77","83","66","78","77","81","62","79","85","86","72","81","85","87","71"
"28","EN","GR","49","25","25","28","57","47","29","47","76","65","57","79","86","52","60","77","53","64","52","41","47","61","49","43"
"29","EN","GR","81","84","85","52","82","86","81","49","79","84","82","51","95","89","87","64","91","89","90","70","82","84","83","59"
"30","EN","GR","66","35","61","28","30","11","58","16","66","69","77","81","72","57","72","33","74","73","70","65","39","30","64","34"
"31","EN","NV","63","52","54","21","64","53","62","29","73","56","60","32","57","64","63","41","75","60","55","53","56","50","55","56"
"32","EN","NV","6","5","11","9","7","9","12","13","19","23","9","10","14","10","9","11","13","11","10","9","6","7","12","9"
"33","EN","NV","75","70","80","50","75","80","80","50","75","80","75","52","80","76","75","54","81","81","81","51","80","80","80","51"
"34","EN","NV","100","100","100","100","63","60","57","100","70","74","77","55","58","62","69","43","100","100","100","97","98","89","91","95"
"35","EN","NV","59","89","82","77","63","82","80","69","82","86","80","90","79","87","93","81","80","82","86","94","89","94","96","94"
