"","ユーザーの言語","group","以下の文にどの程度同意しますか。 - ""私は他の参加者たちと同じチームにいるように感じる""","以下の文にどの程度同意しますか。 - ""私は他の参加者と似ていると思う""","以下の文にどの程度同意しますか。 - ""私は他の参加者を信頼している""","他の全ての参加者にどのくらい親しみを感じますか。 - 1","以下の文にどの程度同意しますか？ - ""私は他の参加者を信頼している""","以下の文にどの程度同意しますか？ - ""私は他の参加者と同じチームにいるように感じる""","以下の文にどの程度同意しますか？ - ""私は他の参加者と似ていると思う""","他のすべての参加者に対して、どのくらい親近感を感じますか。 - 1","以下の文にどの程度同意しますか？ - ""私は他の参加者を信頼している""","以下の文にどの程度同意しますか？ - ""私は他の参加者と同じチームにいるように感じる""","以下の文にどの程度同意しますか？ - ""私は他の参加者と似ていると思う""s’’","他のすべての参加者に対して、どのくらい親近感を感じますか。 - 1"
"1","JA","S","25","11","70","11","32","60","35","16","27","36","28","16"
"2","JA","S","49","63","47","11","63","55","54","26","66","60","49","26"
"3","JA","S","27","30","36","0","50","19","26","27","59","29","19","39"
"4","JA","S","0","0","0","0","5","11","0","0","0","0","0","0"
"5","JA","S","25","41","47","31","55","48","43","68","66","64","63","69"
"6","JA","S","68","63","65","62","78","63","65","74","72","66","63","58"
"7","JA","S","63","40","64","33","100","93","90","73","94","56","10","41"
"8","JA","S","73","33","77","38","78","75","33","59","80","81","44","65"
"9","JA","C","50","0","52","50","63","55","18","30","55","78","41","65"
"10","JA","C","69","34","70","33","85","73","71","41","68","84","67","54"
"11","JA","C","80","38","64","57","65","60","9","61","68","68","59","62"
"12","JA","C","68","82","91","62","89","74","84","69","100","98","96","78"
"13","JA","C","84","21","100","76","78","61","37","64","87","90","67","94"
"14","JA","C","31","40","44","44","44","58","42","50","65","70","57","80"
"15","JA","C","75","15","82","5","77","79","50","23","46","68","32","31"
"16","JA","R","82","9","93","74","99","86","86","86","95","100","84","100"
"17","JA","R","81","22","100","72","100","100","23","66","100","100","22","80"
"18","JA","R","69","58","65","61","93","75","69","79","79","85","64","85"
"19","JA","R","100","18","100","32","100","100","100","73","100","100","80","78"
"20","JA","R","83","0","100","78","86","82","35","84","82","100","35","87"
"21","JA","R","100","81","98","53","90","35","25","51","85","64","62","72"
